ID,Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,Detalle,,Localidad,Mapa,Is_blank,Día Semana,Profundidad Number
50,15/08/2020,20:09:44,-33.122,-70.054,23 Km.,2.7,,,MENDOZA,mapa,TRUE,6,23 
51,15/08/2020,14:00:14,-32.929,-69.658,98 Km.,2.6,,,MENDOZA,mapa,TRUE,6,98 
52,15/08/2020,10:17:23,-33.161,-70.066,18 Km.,2.7,,,MENDOZA,mapa,TRUE,6,18 
53,15/08/2020,9:07:31,-33.241,-70.033,8 Km.,2.7,,,MENDOZA,mapa,TRUE,6,8 
54,15/08/2020,4:02:59,-32.574,-67.858,10 Km.,2.5,,,MENDOZA,mapa,TRUE,6,10 
55,15/08/2020,2:29:44,-32.589,-70.143,126 Km.,3.2,,,MENDOZA,mapa,TRUE,6,126
56,13/08/2020,0:16:59,-35.005,-69.549,175 Km.,3.2,,,MENDOZA,mapa,TRUE,4,175
57,12/08/2020,21:13:08,-32.740,-69.583,165 Km.,2.7,,,MENDOZA,mapa,TRUE,3,165
58,12/08/2020,5:35:11,-33.236,-69.070,18 Km.,2.8,,,MENDOZA,mapa,TRUE,3,18 
59,11/08/2020,7:36:07,-33.071,-68.800,11 Km.,2.6,,,MENDOZA,mapa,TRUE,2,11 
60,10/08/2020,22:49:38,-32.330,-69.243,114 Km.,2.5,,,MENDOZA,mapa,TRUE,1,114
61,10/08/2020,15:56:08,-34.008,-68.397,7 Km.,3.9,"II a III -San Rafael, Mendoza; II a III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,1,7 
62,10/08/2020,3:33:29,-32.849,-69.239,23 Km.,2.5,,,MENDOZA,mapa,TRUE,1,23 
63,09/08/2020,14:59:06,-33.438,-68.836,17 Km.,2.7,,,MENDOZA,mapa,TRUE,7,17 
64,08/08/2020,13:46:51,-32.883,-68.715,10 Km.,3.8,"III -Ciudad de Mendoza; III -Luján de Cuyo, Mendoza; III -San Martín, Mendoza; II a III -Tunuyán, Mendoza",,MENDOZA,mapa,FALSE,6,10 
65,07/08/2020,19:55:13,-32.753,-67.771,28 Km.,2.5,,,MENDOZA,mapa,TRUE,5,28 
